Nazwa_miasta,Wojewodztwo,Liczba_mieszkancow,Liczba_kobiet,Liczba_mezczyzn,Grupa_wiekowa,Powierzchnia_miasta,Powierzchnia_terenow_zielonych,Data_aktualizacji
Warszawa,Mazowieckie,1724400,933200,791200,ogółem,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,96000,46500,49500, 0-4 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,82600,40400,42200,5-9 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,61700,30300,31400,10-14 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,61600,30300,31300,15-19 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,85700,43300,42400,20-24 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,138500,73000,65500,25-29 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,166000,87700,78300,30-34 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,156500,82100,74400,35-39 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,114400,58800,55600,40-44 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,88700,45900,42800,45-49 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,98200,52600,45600,50-54 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,133100,73500,59600,55-59 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,125900,71100,54800,60-64 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,91600,53800,37800,65-69 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,64100,39300,24800,70-74 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,64700,41600,23100,75-79 lata,"517,2",8798,2013-12-31
Warszawa,Mazowieckie,95000,63000,32000,80 lat i więcej,"517,2",8798,2013-12-31
Łódź,Łódzkie,711300,387600,323700,ogółem,"293,3",2947,2013-12-31
Łódź,Łódzkie,17800,8700,9100,0-2 lata,"293,3",2947,2013-12-31
Łódź,Łódzkie,25200,12300,12900,3-6 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,31300,15100,16100,7-12 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,15100,7400,7700,13-15 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,17300,8400,8900,16-18 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,44700,22300,22400,19-24 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,111300,56100,55200,25-34 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,101200,51300,49900,35-44 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,85800,46100,39700,45-54 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,124300,70600,53600,55-64 lat,"293,3",2947,2013-12-31
Łódź,Łódzkie,137500,89500,48000,65 lat i więcej,"293,3",2947,2013-12-31
Kraków,Małopolskie,758334,405051,353283,ogółem,"326,8",1731,2012-12-31
